ticker,alpha,beta,sharpe,ann_vol,ret_1m,ret_3m,ret_6m,ret_1y,momentum,ma50_score,ma200_score,composite_score,vol_trend
WEC,0.07934816384003061,-0.020829952238059963,0.4922103337757012,0.14872681537896393,0.0001726739121656884,0.08031196735073842,0.004330494963968867,,0.03168922402762613,0.006229891602088928,0.057148556453163336,0.3615408523212154,-0.12206575427236743
APD,-0.007389713480071427,0.47132674720590295,0.528469497106981,0.24905252171174713,0.043421223636155304,0.10399133989514442,0.14907335371904606,,0.05193553134573442,0.02588631348077306,0.07798474921069579,0.36135127115833665,-0.09496719007165422
FAST,-0.06778423865190063,0.6799675585520859,0.5327316955930997,0.24919800291172312,0.015527881983358416,0.057506985821630385,0.09546823398696302,,0.011704515805795727,-0.004245793107508366,0.02765482471909982,0.361241326820128,0.08681227356812093
WFC,-0.07407903522130481,1.0919522442440206,0.9354686581965421,0.26507114994546155,0.0685129420322248,-0.08037179945388961,-0.048805856260609404,,-0.02220703036518475,-0.01458091613847164,-0.02983314459189786,0.36087616939414185,0.0032321305387916777
UPS,-0.09935026979105896,0.8583021536376586,0.5635059465632337,0.27290767924503967,0.09913265661452142,-0.00640428315813979,0.30575010765582,,0.06353124301109964,0.008343326900651217,0.11871915912154805,0.360226701575439,0.038575777492672714
DHI,-0.009008925280196665,0.8716907536287093,0.6526081779608143,0.38012868261646954,0.09151182192053753,-0.06684905248274609,-0.02923416769737197,,-0.004120162294396603,0.00883104216808062,-0.017071366756873825,0.36015494986423735,0.041980744940308234
DIS,-0.0424364849943313,0.9240315202142612,0.8920778006874734,0.2579193929921231,0.06910081344909869,-0.06278108206217181,-0.0420808336173073,,0.005656564531575821,0.046004935395782404,-0.03469180633263076,0.36012108203145093,-0.08739220189917407
HBAN,-0.08072588250891681,1.1110923251590599,0.9410791011213813,0.2624261948752613,0.11515557672587717,-0.05173092256188949,0.05930772253863292,,0.02146148811369368,0.024781923047201896,0.018141053180185468,0.36007050887713665,-0.10897764085825701
LIN,0.0012405275161685352,0.26474183800194884,0.4822430370426658,0.16448076032277614,0.007491257357679748,0.12236016243869519,0.09809555288604632,,0.040655530698596405,0.005471702404404144,0.07583935899278867,0.3597327479650474,-0.09468168849613146
AIZ,0.04513559822337482,0.5616557993503735,0.847953753776877,0.24857762735071223,0.07383304079528141,-0.036911632283677664,0.06851651200900721,,0.03773171196659368,0.02581066697937099,0.049652756953816365,0.3591315320220543,-0.26536663385826775
IDXX,0.004772197508666497,1.3560602891374334,0.9631813033366516,0.42017970686318895,0.02101816777349641,-0.1725411390772248,-0.07807247517483518,,-0.05086333102009216,-0.022939406548739445,-0.07878725549144487,0.3590491056043294,-0.02012439400788768
NTAP,-0.13730281375992273,1.3570742164028147,0.8669029601843795,0.30330183620976475,0.04262596782422112,-0.030761895329588507,-0.13083006597935176,,0.0048160037274129815,0.03920460782057158,-0.029572600365745615,0.3587011092350705,0.0026423025816908474
MLM,-0.022416769495858527,0.8689244929632561,0.9703175475431778,0.241005021444311,0.09525996310936691,-0.028327052353112836,-0.024321649106323284,,-0.0004219686531833854,-0.008532130736557824,0.007688193430191053,0.3585799855211029,-0.19922830523545443
DUK,0.12722445027107476,-0.23429749381122028,0.38744438358556055,0.1500191991582201,-0.02080306860958414,0.08595812422951132,0.012223176201764385,,0.02129307220533023,-0.008322621399402189,0.05090876581006265,0.35804849136405104,-0.1568120677002478
DLTR,0.07501905515902708,0.7765519189358087,0.8246914178247201,0.3686762984170046,-0.014512955526996052,-0.2498406963479507,0.10378242115020342,,-0.06386610574858638,-0.07735802972414299,-0.05037418177302977,0.3577344602599485,0.038228220177451755
